theta,epsilon,delta_v,Value_High,Value_Low
0.5,0.4,0.3735617912804029,0.7168257027333438,0.34326391145294116
0.5,0.4,0.40220060761944965,0.7295430659013507,0.3273424582819007
0.5,0.4,0.3543820430815126,0.6992693855374255,0.3448873424559128
0.5,0.4,0.4154991044752396,0.7390110183213839,0.3235119138461445
0.5,0.4,0.43075836760186204,0.7553204580748916,0.32456209047302936
0.5,0.4,0.418551837945612,0.7332182124012979,0.3146663744556858
0.5,0.4,0.396642557395543,0.729900380132293,0.33325782273675
0.5,0.4,0.3703122333977065,0.7077565498189751,0.33744431642126843
0.5,0.5,0.3268126296675278,0.6767291853521665,0.34991655568463875
0.5,0.5,0.3485684021706546,0.6929463986895703,0.3443779965189159
0.5,0.5,0.33331175924887446,0.6830272151578269,0.34971545590895275
0.5,0.5,0.3158344982264719,0.6804552901684718,0.3646207919419998
0.5,0.5,0.34906608245238635,0.69480348763655,0.3457374051841638
0.5,0.5,0.36277129932848096,0.7096208331301903,0.3468495338017093
0.5,0.5,0.3441141887617272,0.6855224364987087,0.3414082477369816
0.5,0.5,0.35682175587236686,0.7019351153513596,0.34511335947899247
0.5,0.5,0.2921350591773269,0.6580215433974062,0.36588648422007936
0.5,0.5,0.34969523497665245,0.705491658932353,0.3557964239557004
0.5,0.6,0.3158505485800019,0.6683701941874854,0.35251964560748356
0.5,0.6,0.2769060154191443,0.6519030144029956,0.37499699898385147
0.5,0.6,0.30245418476497465,0.6760051397104714,0.37355095494549656
0.5,0.6,0.27712504464149856,0.6524661409303053,0.3753410962888067
0.5,0.6,0.2817596768028529,0.6436606351650851,0.3619009583622321
0.5,0.6,0.33339034059839107,0.6943869512600632,0.3609966106616721
0.5,0.6,0.29790416443611567,0.665345909768678,0.36744174533256235
0.5,0.6,0.3115802452387375,0.6723568137458068,0.3607765685070693
0.5,0.6,0.32648707213431627,0.6818023457015409,0.3553152735672247
0.5,0.6,0.26997853171192276,0.6419550597674385,0.37197652805551557
0.5,0.7,0.2650442243012495,0.6522126292556045,0.3871684049543549
0.5,0.7,0.23219461587614348,0.6125835727733268,0.3803889568971832
0.5,0.7,0.28897945678170656,0.6562410409064853,0.3672615841247789
