parameter_value,value_low,value_high,run
0.1,0.17648453645026901,0.8932655644945585,0
0.1,0.25111966578435385,0.8808468496998484,0
0.1,0.1573720854072507,0.8257901994607045,0
0.1,0.18036044567868575,0.8997118157136684,0
0.1,0.18243741685969128,0.8478914673394019,0
0.1,0.08492572146100781,0.8996334286665983,0
0.1,0.1682742870173515,0.8769049757939557,0
0.1,0.2915965815888437,0.8585146302976024,0
0.1,0.2374458452310576,0.7719918066742233,0
0.1,0.13399312727714768,0.8909771588208791,0
0.1,0.22220877563003408,0.8223491033527476,0
0.1,0.1400541260697781,0.8039387479209839,0
0.1,0.1499115047266713,0.8496256763562128,0
0.1,0.19538350822272646,0.8267529687901839,0
0.1,0.2532618891173637,0.8814465025828637,0
0.1,0.13959924379223038,0.8925546760271256,0
0.1,0.0464309904170401,0.8877263572409156,0
0.1,0.2566238446577743,0.8265307136923483,0
0.1,0.22427565493527754,0.8987227383291356,0
0.1,0.1809930618309051,0.8997154394910927,0
0.1,0.18631804036701968,0.8097665707280713,0
0.1,0.10015437946015229,0.8984534282699633,0
0.1,0.14073241054419702,0.8950861314238172,0
0.1,0.15802125147856283,0.8984624013268439,0
0.1,0.1528169123469834,0.8167247883599182,0
0.1,0.178400196388754,0.8715098848973194,0
0.1,0.21978466558490292,0.8328179700928343,0
0.1,0.27309088556486366,0.8340138685465834,0
0.1,0.1371217189922101,0.8996706356719312,0
0.1,0.20410970293335456,0.8902226671584106,0
0.1,0.19758660650587648,0.8969464478921058,0
0.1,0.18581968630891332,0.856517697819242,0
0.1,0.3204534522025833,0.8996446276395107,0
0.1,0.14826240328525683,0.8793862047032878,0
0.1,0.2121346569233385,0.8813552815924737,0
0.1,0.15653496202223077,0.8268263573569863,0
0.1,0.1592642672093692,0.8937743847588978,0
0.1,0.5994003818698004,0.458619419462297,0
0.1,0.13374141394280076,0.8996842052635315,0
0.1,0.16912706643000497,0.845401317262982,0
0.1,0.16993051854454364,0.7497431589567259,0
0.1,0.18263868037626416,0.899803591424025,0
0.1,0.20259590430499563,0.8769464398266614,0
0.1,0.10224824816238676,0.8940561626329989,0
0.1,0.12159634498239628,0.8997899333179693,0
0.1,0.12443272455487388,0.8998232322816225,0
0.1,0.1445750989274619,0.8996714541880892,0
0.1,0.2691340844435573,0.8978152202400739,0
0.1,0.2126104290926811,0.876578532748151,0
0.1,0.15685675610769675,0.8997500625956822,0
0.1,0.0845194474211446,0.8762730174825343,1
0.1,0.1214559582035791,0.8998840226999726,1
0.1,0.10156375926316265,0.8998842109369249,1
0.1,0.24278232652712947,0.8943227956065148,1
0.1,0.2911838295509349,0.8640344159693052,1
0.1,0.599778376897464,0.35563934993292456,1
0.1,0.25949962649642644,0.8096674963667143,1
0.1,0.21893476482989166,0.8269514736282554,1
0.1,0.2128945637341128,0.8466485476335504,1
0.1,0.23253102766224348,0.774523507019474,1
0.1,0.08714862236543665,0.8986197961105047,1
0.1,0.22047953412203877,0.8494611942722677,1
0.1,0.16638182519851258,0.899539038410457,1
0.1,0.23566602359623934,0.744156840194283,1
0.1,0.08574034468060386,0.8974629492668855,1
0.1,0.12289682372466189,0.8987076595213005,1
0.1,0.07089698265598908,0.8827703712788116,1
0.1,0.3681347902428424,0.8726695994749663,1
0.1,0.10566781136415722,0.8996205466538203,1
