parameter_value,value_low,value_high,run
0.5,0.20928153599999952,0.4440304604877042,1
0.5,0.059498614167675906,0.4736950326071016,1
0.5,0.5999999999862449,0.17780476116799154,1
0.5,0.24415284839795512,0.4999926819528567,1
0.5,0.5999755936353012,0.2484936220962066,1
0.5,0.3873800533822021,0.4999996588365436,1
0.5,0.13000725713773076,0.48443790412727217,1
0.5,0.5999999995282014,0.09391860369929513,1
0.5,0.5998871555988521,0.09977804319246676,1
0.5,0.5481599999999512,0.15416341414713208,1
0.5,0.5990225893008645,0.10094330841689308,1
0.5,0.5999912250978342,0.13402620926512437,1
0.5,0.16307004051517573,0.37999999424272,1
0.5,0.5999999988854594,0.4276782540036329,1
0.5,0.24468828750683144,0.4999429234424653,1
0.5,0.593281535937709,0.4314264881059325,1
0.5,0.5907283738539062,0.30752076799999994,1
0.5,0.5936470204397369,0.1198267178594925,1
0.5,0.12047847037590398,0.49999999999999994,1
0.5,0.05225498477771832,0.4906686481685564,1
0.5,0.08800678337484177,0.4999999557852159,1
0.5,0.5886744185809386,0.33960281993471597,1
0.5,0.45508438026256093,0.4192986288083091,1
0.5,0.5999993176114252,0.37721014159503957,1
0.5,0.5999976855314137,0.16493528264403984,1
0.5,0.5999999464514784,0.1432467906756978,1
0.5,0.5999999925116238,0.19937683307787105,1
0.5,0.5985081877933263,0.32767512349066863,1
0.5,0.39593459952885945,0.4999999908316005,1
0.5,0.5999999999999999,0.20782223314073997,1
0.5,0.08879475668774793,0.4906687999652878,1
0.5,0.25192836070784513,0.4999999997326378,1
0.5,0.5481599998071752,0.45984553274112,1
0.5,0.35658449941370696,0.4999999965618584,1
0.5,0.5999999999256597,0.3213478273252808,1
0.5,0.0031977703901006397,0.49999135235747527,1
0.5,0.27815059900272837,0.49999999999999994,1
0.5,0.5999999999399139,0.26446690085564056,1
0.5,0.5999997493882464,0.3735003915036469,1
0.5,0.5999988625959866,0.24518443372763923,1
0.5,0.2618646159967911,0.49760432860966114,1
0.5,0.5901875566844796,0.3815751182012948,1
0.5,0.599399176367954,0.39704478884960404,1
0.5,0.014825410025277931,0.4995245028542664,1
0.5,0.27119794897401617,0.49999999956874525,1
0.5,0.5899398471509557,0.10799999999999996,1
0.5,0.599476916938201,0.19378166784396716,1
0.5,0.38530606294786524,0.4999274631799168,1
0.5,0.332124354089351,0.33915008,1
0.5,0.3599174074391077,0.27343048418429955,1
0.5,0.1507627889963794,0.4966407679997018,1
0.5,0.598235355119608,0.21667876371406836,1
0.5,0.5999988628886086,0.32218745303019486,1
0.5,0.5999979248770319,0.4200344958421775,1
0.5,0.5975781940390529,0.23406709362910347,1
0.5,0.5932815291237105,0.284690292132212,1
0.5,0.4327670632417673,0.484448,1
0.5,0.5999999999383148,0.1430814603848247,1
0.5,0.5999997995584817,0.019671659749354066,1
0.5,0.5803840407049199,0.03612221153272456,1
0.5,0.5999999999965794,0.019452871587796787,1
0.5,0.4554984162919093,0.20580968059152643,1
0.5,0.14673837247512994,0.4999926764752328,1
0.5,0.3599999999951509,0.4500894524365318,1
0.5,0.1440065529605028,0.49999999999999994,1
0.5,0.016335978239968876,0.49901305526713124,1
0.5,0.035208130682527476,0.49998875346864446,1
0.5,0.588802559999774,0.3971267778790451,1
0.5,0.032211977966269026,0.49999999999999994,2
0.5,0.38757184811303697,0.29999999999999993,2
0.5,0.43574546823709326,0.49999999999999994,2
0.5,0.5999999286926098,0.16061683112989056,2
0.5,0.5999999547743213,0.4527453164281792,2
0.5,0.5999999999999824,0.09990390223940246,2
0.5,0.5999999999999894,0.13931551300140108,2
0.5,0.2679870933305804,0.4982942859025621,2
0.5,0.00694711830422261,0.49999999999999994,2
0.5,0.5999999999993874,0.16947462492969956,2
0.5,0.10315553598971473,0.4984724187145166,2
0.5,0.2559254465308675,0.49596064786887556,2
0.5,0.5999999999999986,0.3108116373506906,2
0.5,0.5999999999306991,0.3490000433491359,2
0.5,0.23069088731563292,0.4999990523220052,2
0.5,0.1784470347306914,0.4999999999996863,2
0.5,0.5999978588428971,0.08196914017730275,2
