step,delta_v,gamma,scenario
72,0.25123958034238975,0.0,lambda_h_intervention
73,0.2511499815244513,0.0,lambda_h_intervention
74,0.25106686171061154,0.0,lambda_h_intervention
75,0.25103260044114784,0.0,lambda_h_intervention
76,0.22875212877026346,0.0,lambda_h_intervention
77,0.21074155375530645,0.0,lambda_h_intervention
78,0.19693510531272668,0.0,lambda_h_intervention
79,0.18669018299537338,0.0,lambda_h_intervention
80,0.17867855071752092,0.0,lambda_h_intervention
81,0.17186887077363733,0.0,lambda_h_intervention
82,0.16727912703173442,0.0,lambda_h_intervention
83,0.1636841612442585,0.0,lambda_h_intervention
84,0.1606543225849149,0.0,lambda_h_intervention
85,0.15827927972402384,0.0,lambda_h_intervention
86,0.15648428413179155,0.0,lambda_h_intervention
87,0.15503485616683688,0.0,lambda_h_intervention
88,0.15394350732992462,0.0,lambda_h_intervention
89,0.15320138364455754,0.0,lambda_h_intervention
90,0.15250369571557176,0.0,lambda_h_intervention
91,0.1519393084809455,0.0,lambda_h_intervention
92,0.15153741727361114,0.0,lambda_h_intervention
93,0.1512068096677317,0.0,lambda_h_intervention
94,0.1509572043466444,0.0,lambda_h_intervention
95,0.15077343411685168,0.0,lambda_h_intervention
96,0.15062860193190858,0.0,lambda_h_intervention
97,0.15051925590535614,0.0,lambda_h_intervention
98,0.15043308030998537,0.0,lambda_h_intervention
99,0.15037214530750587,0.0,lambda_h_intervention
100,0.15031572078247235,0.0,lambda_h_intervention
101,0.15026670616928817,0.0,lambda_h_intervention
102,0.15022904204984827,0.0,lambda_h_intervention
103,0.15019472882478369,0.0,lambda_h_intervention
104,0.1501696506226478,0.0,lambda_h_intervention
105,0.15014934696842785,0.0,lambda_h_intervention
106,0.15013343629665898,0.0,lambda_h_intervention
107,0.1501165015498221,0.0,lambda_h_intervention
108,0.15010337958951764,0.0,lambda_h_intervention
109,0.15009192358020157,0.0,lambda_h_intervention
110,0.1500815770605045,0.0,lambda_h_intervention
111,0.1500750091883023,0.0,lambda_h_intervention
112,0.15006880851235588,0.0,lambda_h_intervention
113,0.1500633437632105,0.0,lambda_h_intervention
114,0.15005936807673598,0.0,lambda_h_intervention
115,0.15005470674015214,0.0,lambda_h_intervention
116,0.15004884106745203,0.0,lambda_h_intervention
117,0.1500450285367213,0.0,lambda_h_intervention
118,0.1500402995618791,0.0,lambda_h_intervention
119,0.15003641953028857,0.0,lambda_h_intervention
120,0.1500341762611045,0.0,lambda_h_intervention
121,0.15003137033370845,0.0,lambda_h_intervention
122,0.1500290832202505,0.0,lambda_h_intervention
123,0.15002547299611685,0.0,lambda_h_intervention
124,0.15002385500495619,0.0,lambda_h_intervention
125,0.1500211930221253,0.0,lambda_h_intervention
126,0.15001936374777597,0.0,lambda_h_intervention
127,0.1500177285455857,0.0,lambda_h_intervention
128,0.1500167087233077,0.0,lambda_h_intervention
129,0.150015994692916,0.0,lambda_h_intervention
130,0.1500150826505709,0.0,lambda_h_intervention
131,0.15001407727929017,0.0,lambda_h_intervention
132,0.1500129386400521,0.0,lambda_h_intervention
133,0.1500123100121808,0.0,lambda_h_intervention
134,0.15001111414511048,0.0,lambda_h_intervention
135,0.1500104841605963,0.0,lambda_h_intervention
136,0.15000958489629407,0.0,lambda_h_intervention
137,0.15000906628018373,0.0,lambda_h_intervention
138,0.1500080060658308,0.0,lambda_h_intervention
139,0.15000732266977335,0.0,lambda_h_intervention
140,0.15000675168415872,0.0,lambda_h_intervention
141,0.15000635998350353,0.0,lambda_h_intervention
142,0.1500057549238139,0.0,lambda_h_intervention
143,0.15000550895979775,0.0,lambda_h_intervention
144,0.15000536161186817,0.0,lambda_h_intervention
145,0.15000506285964516,0.0,lambda_h_intervention
146,0.15000436439894688,0.0,lambda_h_intervention
147,0.15000393901700088,0.0,lambda_h_intervention
148,0.15000341451086535,0.0,lambda_h_intervention
149,0.15000315277462217,0.0,lambda_h_intervention
150,0.15000276025221493,0.0,lambda_h_intervention
1,0.015,1.0,theta_intervention
2,0.03082499999999999,1.0,theta_intervention
3,0.08820000000000006,1.0,theta_intervention
4,0.11252400000000001,1.0,theta_intervention
5,0.15079005,1.0,theta_intervention
6,0.18014672999999998,1.0,theta_intervention
7,0.19646707649999995,1.0,theta_intervention
8,0.21622149750000003,1.0,theta_intervention
9,0.2339250395025,1.0,theta_intervention
10,0.25430671464675,1.0,theta_intervention
11,0.2583906131733751,1.0,theta_intervention
12,0.2740005785150401,1.0,theta_intervention
13,0.28523092400450556,1.0,theta_intervention
14,0.2795439098532621,1.0,theta_intervention
15,0.29216866982625916,1.0,theta_intervention
16,0.30030787117602614,1.0,theta_intervention
17,0.3036271780062597,1.0,theta_intervention
18,0.3186396326509754,1.0,theta_intervention
19,0.3317838844146891,1.0,theta_intervention
20,0.3294419026180938,1.0,theta_intervention
21,0.332657794756399,1.0,theta_intervention
22,0.3467504826344917,1.0,theta_intervention
23,0.34642173736503606,1.0,theta_intervention
24,0.35996388702522575,1.0,theta_intervention
25,0.36608819814595905,1.0,theta_intervention
26,0.37586291830520596,1.0,theta_intervention
27,0.3849812509927969,1.0,theta_intervention
28,0.38848125962140545,1.0,theta_intervention
29,0.39493747680562497,1.0,theta_intervention
30,0.397615587828,1.0,theta_intervention
31,0.39534181779533445,1.0,theta_intervention
32,0.3958307203961802,1.0,theta_intervention
33,0.38672139285770096,1.0,theta_intervention
34,0.40086512017245646,1.0,theta_intervention
35,0.4083288990736128,1.0,theta_intervention
36,0.41274073186064675,1.0,theta_intervention
37,0.40928224060681334,1.0,theta_intervention
38,0.4227971780312293,1.0,theta_intervention
39,0.4136805737969571,1.0,theta_intervention
40,0.4376841083166131,1.0,theta_intervention
41,0.4368275228686565,1.0,theta_intervention
42,0.4429884292057354,1.0,theta_intervention
43,0.43575930169752597,1.0,theta_intervention
44,0.4427445430195196,1.0,theta_intervention
45,0.43890490691005907,1.0,theta_intervention
46,0.4449730599745062,1.0,theta_intervention
47,0.44934315196498287,1.0,theta_intervention
48,0.4606830174480292,1.0,theta_intervention
49,0.4605251483587284,1.0,theta_intervention
50,0.47606225380362416,1.0,theta_intervention
51,0.46286529558254597,1.0,theta_intervention
52,0.47019823963664864,1.0,theta_intervention
53,0.468247942525696,1.0,theta_intervention
54,0.4714052985063382,1.0,theta_intervention
55,0.48696088697944645,1.0,theta_intervention
56,0.5017183489308633,1.0,theta_intervention
57,0.5060727856972396,1.0,theta_intervention
58,0.5064227146209868,1.0,theta_intervention
59,0.510764192005736,1.0,theta_intervention
60,0.5093201120472464,1.0,theta_intervention
61,0.5161380869579641,1.0,theta_intervention
62,0.5120087350283988,1.0,theta_intervention
63,0.5249527330929228,1.0,theta_intervention
64,0.5147385754763528,1.0,theta_intervention
65,0.5075895181418691,1.0,theta_intervention
66,0.5069167692662802,1.0,theta_intervention
67,0.5182832652226669,1.0,theta_intervention
68,0.5194398145204174,1.0,theta_intervention
69,0.5241516625166721,1.0,theta_intervention
70,0.5337542809878406,1.0,theta_intervention
71,0.5373656063070219,1.0,theta_intervention
72,0.5292505369468045,1.0,theta_intervention
73,0.5292381688920247,1.0,theta_intervention
74,0.5328491705974907,1.0,theta_intervention
75,0.5333128484490033,1.0,theta_intervention
76,0.48761065625684263,1.0,theta_intervention
77,0.48018452317957205,1.0,theta_intervention
78,0.44611574052621733,1.0,theta_intervention
79,0.4352632457761402,1.0,theta_intervention
80,0.43756289719549235,1.0,theta_intervention
81,0.44350939391793137,1.0,theta_intervention
82,0.4405496819627882,1.0,theta_intervention
83,0.433924168806264,1.0,theta_intervention
84,0.43908599391450437,1.0,theta_intervention
85,0.44598156297937847,1.0,theta_intervention
86,0.43019568208736825,1.0,theta_intervention
87,0.41923245090365446,1.0,theta_intervention
88,0.4134736327394909,1.0,theta_intervention
89,0.41179035325113966,1.0,theta_intervention
90,0.41301746547052065,1.0,theta_intervention
91,0.41433013467277,1.0,theta_intervention
92,0.41823872950220964,1.0,theta_intervention
93,0.4151136764063675,1.0,theta_intervention
94,0.4134986231521489,1.0,theta_intervention
95,0.41028840079170836,1.0,theta_intervention
96,0.4225961498795511,1.0,theta_intervention
97,0.4263564170522637,1.0,theta_intervention
98,0.4188448028462964,1.0,theta_intervention
99,0.41799662082213457,1.0,theta_intervention
100,0.4193700839832078,1.0,theta_intervention
101,0.41206736144357275,1.0,theta_intervention
102,0.40907460439185395,1.0,theta_intervention
103,0.4126252566599933,1.0,theta_intervention
104,0.416290757864881,1.0,theta_intervention
105,0.4068842828068489,1.0,theta_intervention
106,0.39937166256481477,1.0,theta_intervention
107,0.40625821516895183,1.0,theta_intervention
108,0.4168261162653509,1.0,theta_intervention
109,0.4233417724576992,1.0,theta_intervention
110,0.42525438416181083,1.0,theta_intervention
111,0.4251621246213556,1.0,theta_intervention
112,0.427475258718044,1.0,theta_intervention
113,0.42366046856337175,1.0,theta_intervention
114,0.4133484004138092,1.0,theta_intervention
115,0.41576760480339214,1.0,theta_intervention
116,0.428563894126629,1.0,theta_intervention
117,0.4210814322615257,1.0,theta_intervention
118,0.42224963754114053,1.0,theta_intervention
119,0.42110785329266487,1.0,theta_intervention
120,0.4101668420941565,1.0,theta_intervention
121,0.40288184263373145,1.0,theta_intervention
122,0.4135252882566354,1.0,theta_intervention
123,0.41523386521631683,1.0,theta_intervention
124,0.4121297554088142,1.0,theta_intervention
125,0.4151704586488736,1.0,theta_intervention
126,0.4166523957526894,1.0,theta_intervention
127,0.4040636213776494,1.0,theta_intervention
128,0.41055298064390033,1.0,theta_intervention
129,0.4146509476582627,1.0,theta_intervention
130,0.40696220516995657,1.0,theta_intervention
131,0.3952091553281931,1.0,theta_intervention
132,0.388708171620842,1.0,theta_intervention
133,0.38973108479667046,1.0,theta_intervention
134,0.40468631065354066,1.0,theta_intervention
135,0.40999880237455166,1.0,theta_intervention
136,0.4068315118642222,1.0,theta_intervention
137,0.4182672209994036,1.0,theta_intervention
138,0.40065428706143863,1.0,theta_intervention
139,0.41378564726193157,1.0,theta_intervention
140,0.40936321036739126,1.0,theta_intervention
141,0.4110131921149622,1.0,theta_intervention
142,0.3999186216175669,1.0,theta_intervention
143,0.41214394448397473,1.0,theta_intervention
144,0.41364252237958055,1.0,theta_intervention
145,0.41483081636745667,1.0,theta_intervention
146,0.4117302527904049,1.0,theta_intervention
147,0.41941661533125957,1.0,theta_intervention
148,0.4212404361901278,1.0,theta_intervention
149,0.41559463516304174,1.0,theta_intervention
150,0.4259059466657483,1.0,theta_intervention
1,0.022499999999999992,1.0,epsilon_intervention
2,0.04777500000000001,1.0,epsilon_intervention
