theta_post,p_high_post,delta_v,Value_High,Value_Low,LH_Ratio
0.4,0.675,0.3723196242735599,0.6162165389019545,0.24389691462839455,0.729031529409771
0.4,0.7,0.4126485469131439,0.6504284463917609,0.23777989947861702,0.6965517832065604
0.4,0.725,0.44093098716481655,0.6771671690144371,0.2362361818496205,0.6801163004952389
0.4,0.75,0.47063918238159574,0.7047872173567723,0.2341480349751765,0.6728269518440447
0.4,0.775,0.5003358238185152,0.7324642812065321,0.23212845738801677,0.6638828922556811
0.4,0.8,0.5300053497705022,0.760407413754433,0.23040206398393073,0.6543952647111778
0.4,0.825,0.5553818628916942,0.785231131310572,0.2298492684188777,0.6511483186115281
0.4,0.85,0.5840324996807089,0.812220880257825,0.22818838057711596,0.6454722433501349
0.4,0.875,0.6112117077114829,0.8383693556580167,0.22715764794653376,0.6413658383314317
0.4,0.9,0.6361632788711747,0.8630914378378328,0.22692815896665808,0.6388095404351438
0.4,0.925,0.6606234540543132,0.8874555640810804,0.22683211002676731,0.6366889707733192
0.4,0.95,0.6849602961732729,0.9117355783748915,0.22677528220161855,0.6356965095483634
0.4,0.975,0.7093881749511594,0.9360485679197937,0.22666039296863438,0.6354457376450647
0.4,1.0,0.7341071703087931,0.9605283132771865,0.22642114296839333,0.6351024664830301
0.45,0.5,0.02119387478548218,0.3451614532025545,0.32396757841707224,0.9688982618335643
0.45,0.5249999999999999,0.09623492137044036,0.3937348217571691,0.29749990038672874,0.8667540139680462
0.45,0.55,0.16019999400540444,0.43687407573521087,0.27667408172980645,0.7811348178705637
0.45,0.575,0.2240305573220888,0.4819544809955484,0.25792392367345957,0.6977549246741097
0.45,0.6,0.28709251188481294,0.526743439118146,0.23965092723333314,0.6391985428731894
0.45,0.625,0.34484512337153655,0.5704054282823782,0.2255603049108416,0.5836622618614303
0.45,0.6499999999999999,0.3918303374780563,0.6071092532400896,0.21527891576203326,0.5541792575645402
0.45,0.675,0.42563810541091807,0.6371857581656971,0.21154765275477905,0.5299080568687631
0.45,0.7,0.4569411951895345,0.6654522205161875,0.20851102532665297,0.5203371258311964
0.45,0.725,0.48736000698671456,0.6934231385970268,0.20606313161031223,0.5118635434551803
0.45,0.75,0.51466755820373,0.7193890255938767,0.20472146739014674,0.5075224568325369
