theta,epsilon,delta_v,Value_High,Value_Low
1.0,0.7,0.19435727909271466,0.5995366455096192,0.40517936641690455
1.0,0.7,0.14046485241309895,0.5784569742601319,0.43799212184703284
1.0,0.7,0.12851623147832233,0.5381400245132502,0.4096237930349279
1.0,0.7,0.16239773274228253,0.5592798032029718,0.39688207046068924
1.0,0.7,0.19152551613821378,0.5987345369753951,0.40720902083718136
1.0,0.7,0.17739585789589157,0.5969793392652961,0.41958348136940443
1.0,0.7,0.24367078043927276,0.6274490406821583,0.3837782602428856
1.0,0.7,0.06231741865536703,0.5153558109791427,0.45303839232377574
1.0,0.7,0.20922137517073966,0.6153862893878801,0.40616491421714046
1.0,0.8,0.13528447209229966,0.5743785989235117,0.4390941268312122
1.0,0.8,0.12699939315830475,0.5624766933312066,0.4354773001729019
1.0,0.8,0.11219784762009244,0.5521246243502733,0.43992677673018077
1.0,0.8,0.1304488895634589,0.5602470777920034,0.4297981882285445
1.0,0.8,0.09218378890466977,0.5334962501488039,0.4413124612441341
1.0,0.8,0.14184511491943316,0.549277658868151,0.40743254394871775
1.0,0.8,0.1544459234030805,0.5996109209591304,0.4451649975560499
1.0,0.8,0.04910600704948224,0.4985143064505404,0.4494082994010581
1.0,0.8,0.10276479769975799,0.5286115840013887,0.4258467863016307
1.0,0.8,0.13337113063707007,0.5616006573791983,0.4282295267421282
1.0,0.9,0.034954825197418396,0.49594648494093485,0.46099165974351647
1.0,0.9,0.10177044370465012,0.5427516119691755,0.44098116826452527
1.0,0.9,0.11549337002147926,0.544396767376084,0.42890339735460464
1.0,0.9,0.12496758675974771,0.5649052235584602,0.4399376367987125
1.0,0.9,0.14464849807314484,0.5526156821246083,0.4079671840514635
1.0,0.9,0.096901875359798,0.5266177519408812,0.4297158765810833
1.0,0.9,0.11650413756897975,0.5622443451517222,0.44574020758274235
1.0,0.9,0.18213288212263745,0.6076096631719715,0.42547678104933406
1.0,0.9,0.041867415437584245,0.4923941338232896,0.45052671838570546
1.0,0.9,0.12898922679268596,0.5667993563405007,0.4378101295478147
1.0,1.0,0.20902474707670166,0.5930176650905173,0.3839929180138156
1.0,1.0,0.12407082557824327,0.5618577200098368,0.4377868944315936
1.0,1.0,0.08192153515217404,0.5372887980233437,0.4553672628711696
1.0,1.0,0.022671695665225845,0.48032139651629957,0.4576497008510738
1.0,1.0,0.06877261629748516,0.52344403710634,0.45467142080885503
1.0,1.0,0.07065774615102946,0.5225390348340423,0.4518812886830129
1.0,1.0,0.01231234466102625,0.4874405365501292,0.4751281918891028
1.0,1.0,0.06907421522174262,0.5433490167791579,0.4742748015574152
1.0,1.0,0.11237292397125057,0.5515098087667958,0.43913688479554513
1.0,1.0,0.07699235632558543,0.5297479201920736,0.4527555638664882
2.0,0.1,0.6043536009448058,0.7952175029809365,0.1908639020361306
2.0,0.1,0.6415259266668883,0.8370801121128939,0.19555418544600542
2.0,0.1,0.6051020101185888,0.8365810255796362,0.2314790154610471
2.0,0.1,0.6456994502627141,0.8345645539076881,0.1888651036449737
2.0,0.1,0.6065725131729179,0.8345694736205077,0.2279969604475897
2.0,0.1,0.6328347158411006,0.8278685162250424,0.19503380038394177
2.0,0.1,0.6405598276554939,0.8521833354211777,0.21162350776568373
2.0,0.1,0.6738408314418196,0.8557193310016136,0.18187849955979396
2.0,0.1,0.5716513941106645,0.8170462876174267,0.24539489350676227
2.0,0.1,0.6325994815765751,0.8318243362700707,0.19922485469349557
2.0,0.2,0.5176444746919451,0.7869937127782711,0.26934923808632616
2.0,0.2,0.5561772901209321,0.7899875659391817,0.23381027581824942
2.0,0.2,0.5134810429708383,0.7876323097631176,0.27415126679227936
2.0,0.2,0.5463335409557003,0.7984726249809421,0.252139084025242
2.0,0.2,0.4980817139261236,0.767485211078772,0.26940349715264816
2.0,0.2,0.5146430671167267,0.7614721691937433,0.2468291020770165
