sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate,delta
47,0.44967484106914857,0.8062669046220483,0.3565920635528997,0.23154318518255992,0.6833087228064715,0.19772449239997125,0.8315073538147162,0.5,0.3775507720523782,0.2912231278736208,0.47287356212130993
48,0.1609771019252006,0.6512155151085617,0.49023841318336103,8.670805420843347,0.10414793256147525,0.43790767209667414,0.7552949214423834,0.5,0.5565350983556656,0.20684557846225482,0.36411991248750064
49,0.049442332010847065,0.48576607163166036,0.4363237396208133,4.876790610396158,0.1811150107805911,0.5851357017829399,0.89705002920327,0.5,0.4664490507566623,0.9436318202446927,0.19478391643174175
50,0.431945730593991,0.9316312312054696,0.4996855006114787,9.354047871418228,0.24107954168025025,0.8659535273238519,0.9675230724145315,0.5,0.28144337779317574,0.013603477793374896,0.2336108833310293
51,0.2498599646521138,0.679030052334103,0.42917008768198917,1.3499243435180797,0.3458255948969008,0.308516398445407,0.780307600696651,0.5,0.27890807477115287,0.4725279235218256,0.6947596892241766
52,0.2698808143184982,0.7077370540094876,0.4378562396909894,0.4100753252362013,0.8152840420040159,0.8894865435980451,0.8968986821901394,0.5,0.3770013982546081,0.795556878510708,0.24232922524642908
53,0.428863448359144,0.8876044567863112,0.4587410084271671,0.19311214351333186,0.7494723432260733,0.25905945846783873,0.8942234132776443,0.5,0.407131920714905,0.07058502224996377,0.8930235769918714
54,0.46677387563649136,0.814756807392175,0.3479829317556836,0.38068043192559364,0.5196075885224554,0.08411214575049175,0.8435360596885338,0.5,0.14649019020382462,0.6677876684877214,0.9963128409400628
55,0.1033293114251754,0.5757714391594877,0.4724421277343122,5.703999306451661,0.18919840503050023,0.6376294539143039,0.9809040854309173,0.5,0.2176783422238666,0.6599126011282496,0.8741106932749152
56,0.5291139532843913,0.9448438972583159,0.4157299439739245,0.21816638503551306,0.6795977753679366,0.17302028379502643,0.9557990416744286,0.5,0.5376186359296894,0.12192929887761572,0.3879329945306822
57,0.37231683639943897,0.8441671882129025,0.4718503518134637,0.40979038103640136,0.5254690932769265,0.12655460953726205,0.8487393498725655,0.5,0.4776142955567184,0.0629552036441069,0.7336903535076269
58,0.10847981103585988,0.5661675344229438,0.45768772338708386,1.7096356553508514,0.5340042893939971,0.97601756233806,0.9222273265862982,0.5,0.29788012061785074,0.7832288841707015,0.8043124327206201
59,0.3864814170427694,0.8846103257548222,0.4981289087120529,4.142965333117951,0.13202827256710492,0.19513468816110213,0.8882477298023063,0.5,0.2284909377458271,0.01978694715965046,0.30303269536752997
60,0.22971338837952646,0.715688990340551,0.4859756019610245,2.2658305238204584,0.3644016966275252,0.6089637720006883,0.7969468975299446,0.5,0.4107946698581467,0.13184208596272062,0.41578995843040567
61,0.36390262890489067,0.7323097402773536,0.368407111372463,0.6644331052211323,0.42942153361020063,0.12994523286587023,0.7867838730492079,0.5,0.4694895280731397,0.6401645431995976,0.7916100083108021
62,0.5772758447571735,0.9453245256058714,0.3680486808486979,0.16708543124569022,0.6546296282467827,0.049492477534709534,0.950462485368466,0.5,0.3073764453785396,0.22421747935676684,0.7244871907367486
