theta_post,p_high_post,delta_v,Value_High,Value_Low,LH_Ratio,reward_contrast
0.15000000000000002,0.85,0.39601644890120735,0.7798972491836194,0.38388080028241206,3.138623136989802,1.7
0.15000000000000002,0.875,0.42487596368914626,0.8080294908248782,0.3831535271357319,3.0757887530956234,1.75
0.15000000000000002,0.9,0.4535028626029954,0.8357942419298816,0.3822913793268863,3.0471481088364247,1.8
0.15000000000000002,0.925,0.4813188933669303,0.8630637988655259,0.3817449054985955,3.0284151377436563,1.85
0.15000000000000002,0.95,0.5056535799118957,0.8872605582321127,0.3816069783202169,3.022756224013519,1.9
0.15000000000000002,0.975,0.5319808546250809,0.9128250599724623,0.3808442053473814,3.0117554504299107,1.95
0.15000000000000002,1.0,0.5595156983477906,0.9397997381812673,0.3802840398334767,2.990404181179448,2.0
0.2,0.5,-0.2369005728110311,0.20877806132597448,0.4456786341370057,4.497113215383651,1.0
0.2,0.5249999999999999,-0.2085382202479804,0.2324123881477123,0.4409506083956927,4.262712819912549,1.0499999999999998
0.2,0.55,-0.17147128535684553,0.2632473641577178,0.43471864951456335,4.034728046227649,1.1
0.2,0.575,-0.12593073783856087,0.3003879942928235,0.4263187321313843,3.766379982507317,1.15
0.2,0.6,-0.07508502827555273,0.3418529134232158,0.4169379416987685,3.5088187372006097,1.2
0.2,0.625,-0.010016100489600277,0.3957161142981116,0.4057322147877119,3.2216556483417307,1.25
0.2,0.6499999999999999,0.05254701002206681,0.4474657214937353,0.39491871147166846,2.9673674393327967,1.2999999999999998
0.2,0.675,0.1265111840958563,0.5088808432469437,0.3823696591510875,2.7324456058356232,1.35
0.2,0.7,0.2021291672706506,0.5720537467298039,0.36992457945915325,2.4967867739215674,1.4
0.2,0.725,0.26690593350613445,0.6278246654554704,0.360918731949336,2.3570205273836273,1.45
0.2,0.75,0.3056053294734455,0.6626995674332199,0.3570942379597744,2.2866960984499336,1.5
0.2,0.775,0.33321859018676525,0.6891076738365097,0.3558890836497445,2.2716471408805843,1.55
0.2,0.8,0.36546855494190134,0.7193659131508592,0.35389735820895785,2.2332058657125,1.6
0.2,0.825,0.3933838315394199,0.7456419441232506,0.3522581125838306,2.211746711917701,1.65
0.2,0.85,0.42163999102963867,0.7728619963280172,0.35122200529837855,2.1983379997655943,1.7
0.2,0.875,0.4511644191211305,0.8012190650510723,0.3500546459299418,2.1698001940380403,1.75
0.2,0.9,0.4849277031858561,0.8329013745517797,0.3479736713659236,2.100710181199679,1.8
0.2,0.925,0.5180826857362753,0.864601258190348,0.34651857245407297,2.064244508895899,1.85
0.2,0.95,0.5438735277290706,0.8900171266047213,0.34614359887565077,2.05796046793102,1.9
0.2,0.975,0.5712408419902564,0.9167496956625859,0.34550885367232964,2.037432800038465,1.95
0.2,1.0,0.6009607343717223,0.9455214403984572,0.3445607060267348,2.0200451378043938,2.0
0.25,0.5,-0.23075568919694867,0.20942729496635176,0.44018298416330043,3.376530060041689,1.0
0.25,0.5249999999999999,-0.1884736050823483,0.24221528480720567,0.430688889889554,3.17788321418168,1.0499999999999998
0.25,0.55,-0.1413169660751356,0.2782191804732867,0.41953614654842236,2.9731287479353883,1.1
0.25,0.575,-0.08171244334679935,0.324043601347085,0.4057560446938844,2.753044134778559,1.15
0.25,0.6,-0.020845974747891856,0.3721176205738118,0.3929635953217037,2.522918375891004,1.2
0.25,0.625,0.037958561441180004,0.41909007477314403,0.38113151333196404,2.3031119035881273,1.25
0.25,0.6499999999999999,0.1128095510447504,0.478620581421644,0.3658110303768936,2.0912933652601664,1.2999999999999998
0.25,0.675,0.18571941392542035,0.5366312841167467,0.3509118701913264,1.9101539258973037,1.35
0.25,0.7,0.2568597630678823,0.5943173164934734,0.3374575534255912,1.7655005031408493,1.4
0.25,0.725,0.31417216275487486,0.6426131899611998,0.3284410272063249,1.6685931550134967,1.45
0.25,0.75,0.35141603858679643,0.67595388148003,0.3245378428932336,1.621025804583915,1.5
0.25,0.775,0.38590723626507123,0.7077779717800277,0.3218707355149564,1.5761989743167333,1.55
0.25,0.8,0.4151594558227674,0.7355366944038204,0.32037723858105305,1.5592591817902748,1.6
0.25,0.825,0.4483937573796138,0.7664177762502631,0.31802401887064924,1.5200596038737229,1.65
0.25,0.85,0.4749076196831873,0.7922029426832438,0.3172953230000565,1.5118368825337107,1.7
0.25,0.875,0.503217803232533,0.8196638873888666,0.3164460841563338,1.4882616648533138,1.75
0.25,0.9,0.5323521124644548,0.8475937114015084,0.3152415989370535,1.4686954825586973,1.8
0.25,0.925,0.5565220238814248,0.8717037383592814,0.3151817144778565,1.4657487023373168,1.85
0.25,0.95,0.5837454308129121,0.8981989866787157,0.3144535558658036,1.4578571945954828,1.9
0.25,0.975,0.6128923301912892,0.9262059078487799,0.31331357765749057,1.4481159105517523,1.95
0.25,1.0,0.6414996769288063,0.9538567865831913,0.312357109654385,1.4353400035338295,2.0
0.30000000000000004,0.5,-0.19594045294192358,0.22898035208256484,0.4249208050244884,2.492534149258979,1.0
0.30000000000000004,0.5249999999999999,-0.14438876120151506,0.2663520021871102,0.4107407633886253,2.3036618078318982,1.0499999999999998
0.30000000000000004,0.55,-0.08784705641185189,0.3071618319569703,0.3950088883688222,2.1364832046490494,1.1
0.30000000000000004,0.575,-0.017993892153298007,0.35816517834356587,0.37615907049686387,1.941553514524589,1.15
0.30000000000000004,0.6,0.05561113910384989,0.4128006222442352,0.35718948314038523,1.7501144823679238,1.2
0.30000000000000004,0.625,0.12129137019462892,0.4633388925516887,0.3420475223570598,1.6048601462093657,1.25
0.30000000000000004,0.6499999999999999,0.19627330881739363,0.5217514036148674,0.32547809479747375,1.4536550830294233,1.2999999999999998
0.30000000000000004,0.675,0.256735678457718,0.5701816348783153,0.3134459564205974,1.3599437130025365,1.35
0.30000000000000004,0.7,0.31862607019794686,0.6201485193171183,0.30152244911917153,1.2575933142884317,1.4
0.30000000000000004,0.725,0.35816666053865687,0.6543816121511288,0.29621495161247197,1.2125478705177106,1.45
0.30000000000000004,0.75,0.3931265173797812,0.686054830194043,0.2929283128142618,1.1831954471640063,1.5
0.30000000000000004,0.775,0.42299580589803415,0.7139809512693509,0.29098514537131687,1.1663216617508083,1.55
0.30000000000000004,0.8,0.4572274094848699,0.7451780077443707,0.28795059825950076,1.143445535397602,1.6
0.30000000000000004,0.825,0.4857445963614443,0.7723338137691143,0.28658921740766996,1.1354145867159846,1.65
0.30000000000000004,0.85,0.5157420712170804,0.8004258384221927,0.28468376720511246,1.1210480258391615,1.7
0.30000000000000004,0.875,0.5430930492728464,0.8268118265311564,0.28371877725830996,1.1127084456795362,1.75
