alpha,step,delta_v
0.1,194,0.5834900838217065
0.1,195,0.5837496242545842
0.1,196,0.5837232079579016
0.1,197,0.5836273786101667
0.1,198,0.5837630971416943
0.1,199,0.5837558065533386
0.3,0,0.325731
0.3,1,0.34927743
0.3,2,0.37078651398000007
0.3,3,0.3902280720096
0.3,4,0.408161339614236
0.3,5,0.42373565957018217
0.3,6,0.43842352493679404
0.3,7,0.45198779263989036
0.3,8,0.46392846772581153
0.3,9,0.4751401985341452
0.3,10,0.4848643320920241
0.3,11,0.49423206046036045
0.3,12,0.502765279742246
0.3,13,0.5103425381776243
0.3,14,0.5174524274120469
0.3,15,0.523370797940726
0.3,16,0.5283451842029566
0.3,17,0.5323863933663865
0.3,18,0.5373018165001158
0.3,19,0.5419258123828641
0.3,20,0.5452960467606329
0.3,21,0.5485733155404524
0.3,22,0.5513367060843407
0.3,23,0.5541392432877956
0.3,24,0.5567201658891682
0.3,25,0.5597854275735161
0.3,26,0.5618451338491817
0.3,27,0.563788691825185
0.3,28,0.5657653154815429
0.3,29,0.5673209308070706
0.3,30,0.5694633988343427
0.3,31,0.5715246262605674
0.3,32,0.57291636782425
0.3,33,0.5737802458103031
0.3,34,0.574629847370366
0.3,35,0.5754127949706915
0.3,36,0.5765568791367701
0.3,37,0.5774431625411508
0.3,38,0.5781746535424815
0.3,39,0.5784868968430811
0.3,40,0.5791543883048724
0.3,41,0.5795303781878006
0.3,42,0.5799523190467045
0.3,43,0.5800557639245818
0.3,44,0.5800906465944066
0.3,45,0.5806504562995207
0.3,46,0.5811784029064077
0.3,47,0.5815844572099704
0.3,48,0.5829722963221223
0.3,49,0.5835487420383861
0.3,50,0.5840310270048704
0.3,51,0.58354819888693
0.3,52,0.5834996681888123
0.3,53,0.582759833281603
0.3,54,0.5831829540189097
0.3,55,0.583512149502429
0.3,56,0.5839192922108226
0.3,57,0.58341600351227
0.3,58,0.5832981214242365
0.3,59,0.583140184530171
0.3,60,0.5834880668102528
0.3,61,0.5835945394530793
0.3,62,0.5840726831953672
0.3,63,0.5834644894150562
0.3,64,0.5838108264309594
0.3,65,0.5835697607727282
0.3,66,0.5826441127372961
0.3,67,0.5830612922452604
0.3,68,0.5832013521378515
0.3,69,0.582937338004088
0.3,70,0.5833447204602441
0.3,71,0.5836302092194886
0.3,72,0.5835194627362817
0.3,73,0.5835470392652717
0.3,74,0.5830699235227965
0.3,75,0.5833832958480049
0.3,76,0.5837933128203665
0.3,77,0.5828760646642236
0.3,78,0.5830605151534112
0.3,79,0.5835522181622204
0.3,80,0.5836807230158295
0.3,81,0.5839481183520868
0.3,82,0.5839630825254845
0.3,83,0.5847032959281809
0.3,84,0.5845325544950501
0.3,85,0.5846645653497592
0.3,86,0.585312580990342
0.3,87,0.5850364358595951
0.3,88,0.5849083907991028
0.3,89,0.5854191305058963
0.3,90,0.5853159227851771
0.3,91,0.5851562887374392
0.3,92,0.5849274833617738
0.3,93,0.58457344129219
0.3,94,0.5844408100178561
0.3,95,0.5843699971657232
0.3,96,0.5846207010174955
0.3,97,0.5842179480423714
0.3,98,0.5850874961783878
0.3,99,0.5846416532321482
0.3,100,0.584321660869797
0.3,101,0.584480110548038
0.3,102,0.5837604260366955
0.3,103,0.5842980212989501
0.3,104,0.5840657578888062
0.3,105,0.5833336628074327
0.3,106,0.5838408367203779
0.3,107,0.5841110087683176
0.3,108,0.583951061203472
0.3,109,0.5838671278849143
0.3,110,0.583496938815932
0.3,111,0.58329160259648
0.3,112,0.583154569409644
0.3,113,0.5833797281311905
0.3,114,0.5840819120003488
0.3,115,0.5843434809049787
0.3,116,0.584048145783022
0.3,117,0.5840732272480502
0.3,118,0.5848380565742709
0.3,119,0.5848738601426358
0.3,120,0.5848418784712553
0.3,121,0.5845837514702941
0.3,122,0.5852519165115108
0.3,123,0.5853388212433243
0.3,124,0.5852617818257791
0.3,125,0.585272361096181
0.3,126,0.5850539894304512
0.3,127,0.5846922387689243
0.3,128,0.5845348271157609
0.3,129,0.5847971080994188
0.3,130,0.5854904882836091
0.3,131,0.5855365734173893
0.3,132,0.5848219256910003
0.3,133,0.584751434285828
0.3,134,0.5847325578501993
0.3,135,0.5845803291254102
0.3,136,0.584432292248228
0.3,137,0.5847655856532196
0.3,138,0.5854292176337892
0.3,139,0.585057528639563
0.3,140,0.5845830875491389
0.3,141,0.583813961024963
0.3,142,0.5836353332490961
0.3,143,0.5837215321127737
0.3,144,0.5835914035070662
0.3,145,0.58322383733229
0.3,146,0.5828628293043039
0.3,147,0.5830998726111782
0.3,148,0.5836647096173381
0.3,149,0.5833910368123019
0.3,150,0.5833820544631062
0.3,151,0.5841735784016815
0.3,152,0.5837072866419004
0.3,153,0.5834433439748715
0.3,154,0.5843858531802395
0.3,155,0.5836236056821592
0.3,156,0.5831829492506607
0.3,157,0.5828743266674984
0.3,158,0.5825889158090931
0.3,159,0.5822268411778173
0.3,160,0.5831354349532906
0.3,161,0.5834253286723523
0.3,162,0.5843435062079453
0.3,163,0.5846268345614123
0.3,164,0.5847324901941233
0.3,165,0.5847085992221439
0.3,166,0.5846984956008133
0.3,167,0.5852048480959455
0.3,168,0.5850205776838316
0.3,169,0.5854555001184191
0.3,170,0.5856687527128327
0.3,171,0.5852825636191162
0.3,172,0.5851020239907454
0.3,173,0.5847765077867119
0.3,174,0.5847366134246225
0.3,175,0.5849555993207707
0.3,176,0.5839830143318411
0.3,177,0.5841597423135393
0.3,178,0.5841004515808629
0.3,179,0.5835804346030631
0.3,180,0.5836063830423791
0.3,181,0.5834186878821924
