sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
59,0.14332070625451016,0.5916078538981095,0.44828714764359934,2.416871594980406,0.3628867555863514,0.013603477793374896,0.6168054416655147,0.5,0.308516398445407,0.12123040278660357
60,0.49692630653591446,0.7094642678798202,0.21253796134390573,0.03696846026822054,0.9532596460813101,0.3578161495423058,0.7362639617609128,0.5,0.8152840420040159,0.8894865435980451
61,0.09993009025861274,0.514095511761478,0.41416542150286534,1.0681117479746964,0.5875947287605575,0.8840913884710668,0.777001398254608,0.5,0.24232922524642908,0.7494723432260733
62,0.10524772276927655,0.5211587784310784,0.4159110556618019,3.0856024051641673,0.25905945846783873,0.5768936531105772,0.9678423059502528,0.5,0.07058502224996377,0.8930235769918714
63,0.31736231227275874,0.5996008743428715,0.2822385620701128,0.8598347434700576,0.5196075885224554,0.08411214575049175,0.6870721193770677,0.5,0.09298038040764922,0.6677876684877214
64,0.7682329651339093,0.818603063553776,0.050370098419866796,0.0014062112817635646,0.9963128409400628,0.18919840503050023,0.818814726957152,0.5,0.8124864307487146,0.23535668444773317
65,0.23430747726566,0.6075010937954481,0.37319361652978805,0.6709019599856221,0.6599126011282496,0.8741106932749152,0.8397988876839684,0.5,0.8231961666977146,0.8423842995450286
66,0.5449749762571872,0.6861976602502777,0.1412226839930905,0.04568944864693812,0.8752372718593787,0.12192929887761572,0.6939664972653411,0.5,0.12655460953726205,0.39495739949026176
67,0.1342809837954118,0.4786098739990587,0.3443288902036469,0.12510197103689333,0.9156185390780902,0.7552285911134368,0.5314776018220535,0.5,0.5340042893939971,0.97601756233806
68,0.1413903865518366,0.637944289677176,0.4965539031253394,0.98765615190958,0.688909306345193,0.9889903232653222,0.6978801206178507,0.5,0.8043124327206201,0.13202827256710492
69,-0.08397494780440677,0.2975649463495662,0.381539894153973,3.938902795602588,0.19513468816110213,0.552990919209225,0.9077875411996226,0.5,0.01978694715965046,0.30303269536752997
70,0.05901584879656282,0.5408524396828065,0.4818365908862436,2.034448814434784,0.3644016966275252,0.6089637720006883,0.5938937950598893,0.5,0.6215893397162934,0.13184208596272062
71,0.01949363583473436,0.3981189452137238,0.37862530937898947,1.4383069929441938,0.41578995843040567,0.42942153361020063,0.5649726164329352,0.5,0.3941790480397217,0.7389790561462793
72,0.2482416167086389,0.7112512050219428,0.463009588313304,0.8658289985541672,0.6401645431995976,0.7916100083108021,0.8273148141233914,0.5,0.8018499414738639,0.29746046571860085
73,0.4011914715066773,0.8146331018879452,0.41344163038126797,0.8773175016882689,0.4147528907570791,0.22421747935676684,0.8622435953683742,0.5,0.8589045669217408,0.2572775093089621
74,0.47253738960934283,0.7953272038000684,0.32278981419072555,0.4751998823257996,0.6132288873327232,0.32518820980267016,0.9104420522964296,0.5,0.7819920905916081,0.5625811723559758
75,-0.16017253862874098,0.27827657319321675,0.4384491118219578,13.999510541491272,0.20639368755957643,0.03550846308731315,0.5484361200260297,0.5,0.7246927394558362,0.7572003887897886
76,0.21378833355079002,0.5563475732356543,0.34255923968486435,0.7507078432981111,0.5494408603748127,0.38475357615133354,0.6981247093987989,0.5,0.605742340298426,0.6776561516259686
77,0.022364282120975902,0.4834263424042386,0.46106206028326274,8.981880288828819,0.10687729598910822,0.826181653461176,0.8435403675014004,0.5,0.955652855895584,0.8362043318606388
78,0.00938637294516087,0.5003659719579272,0.4909795990127662,0.9734549809799742,0.5021436367692447,0.41844841649764186,0.5070380958160277,0.5,0.1322474692778668,0.02855199579968737
79,0.2856358300068475,0.6784841056087819,0.39284827560193436,0.7191384742626438,0.61833246047731,0.5945679401890848,0.8630581574491238,0.5,0.5457030130470067,0.5765213825515124
80,-0.0016879597469722173,0.33096758074312616,0.33265554049009843,1.194039423578561,0.42585002040512177,0.8413294751489283,0.5348700123626564,0.5,0.025117418738278552,0.465663988144965
81,0.235411456579769,0.7116069783167862,0.4761955217370172,0.6565640750727545,0.7101896323126484,0.7716572271919283,0.7800245542524716,0.5,0.8152771726350869,0.1996873895717739
82,0.19508697409262923,0.6818284859644167,0.4867415118717874,6.563839760815381,0.21651424793987906,0.8602094595521997,0.9983004971435756,0.5,0.6034786592753244,0.2699870012073343
83,0.05165998202616014,0.42243680313997845,0.37077682111381827,0.9662887838672971,0.5457816357107362,0.9351231593466321,0.6094765575053434,0.5,0.5799732670424318,0.8336545257236992
84,0.22087876153795077,0.6285155284135038,0.40763676687555306,0.9990441932271092,0.5374584311599752,0.5745474706213802,0.8108559481755163,0.5,0.06857310586617082,0.48909486399522784
85,0.5858680260752585,0.7879452012813597,0.20207717520610124,0.29491364993893987,0.5955205191909322,0.056575389463239034,0.8336009167703937,0.5,0.9352481913503573,0.715281157054074
86,0.4435470061688288,0.7224374064107734,0.27889040024194456,0.18752726078631426,0.9031689191178401,0.8446531958299068,0.8487085710586129,0.5,0.05733549583146891,0.9751941867605356
87,0.044744760505804525,0.506827003378916,0.4620822428731114,0.8234117105768165,0.628573819064729,0.9500589159858897,0.5783168370492991,0.5,0.569405650770936,0.28355890163441355
88,-0.34821376671198123,0.14682324435981026,0.49503701107179143,47.72625,0.021864277108044616,0.6556791099232829,0.5970648462051933,0.5,0.10362592026263762,0.3428364413802436
89,0.20716623560177946,0.6313986724703129,0.4242324368685334,2.4642465590535045,0.31828045342402267,0.2668312566662342,0.7801791889695973,0.5,0.09092000598719596,0.3887122837114898
90,0.16822568549822264,0.6164214571827797,0.4481957716845571,1.7402732843460214,0.46072408363197004,0.8658200711959935,0.8904831202039045,0.5,0.617296928151139,0.5112323314637326
91,0.4455508171914313,0.7044301376869468,0.2588793204955155,0.05845127466826181,0.944797625886538,0.4959754106181353,0.7365956718807525,0.5,0.3033182741988407,0.8830424882392529
92,0.08720902752841915,0.5389256740272101,0.451716646498791,0.9963437949716795,0.5228826787779112,0.5507880349100587,0.6099210248601163,0.5,0.5219789070734232,0.2435984880705515
93,0.22994226102758533,0.5202670764031374,0.29032481537555205,0.8500678775139825,0.4277293920981975,0.09793144330012427,0.610613518909674,0.5,0.8781735673167488,0.8296084506570305
94,0.20969611108348424,0.4784978019155942,0.26880169083211,0.28217426376667853,0.7211175618082445,0.32379037517235254,0.5381900459421716,0.5,0.17571673341786997,0.69511441039566
95,0.05599175995625237,0.5215291578941295,0.4655373979378771,0.23151700796715163,0.7738579235888061,0.37903887162983774,0.5265614867600047,0.5,0.41830989983852285,0.061726679525274664
96,0.023263830452064947,0.43743081680180307,0.41416698634973803,1.6282100377846949,0.3992607359562719,0.9263772413729255,0.6050485118317864,0.5,0.47234335866453836,0.620246225575715
97,-0.03799163824316202,0.4311748092421717,0.46916644748533376,3.0819538812904517,0.27384240710459373,0.3475493912909027,0.5315161622407613,0.5,0.5090033575949123,0.2518590985942397
98,0.4875519477681921,0.9168539443238843,0.42930199655569234,0.21987129438487468,0.7683008214506227,0.3481634925878886,0.9332778007140867,0.5,0.21584711390857259,0.11660090732329254
99,0.28004745548725685,0.7366840853185674,0.45663662983131054,2.3552701859965106,0.3226232965586784,0.5589963753243979,0.9245644370710541,0.5,0.7855469782356815,0.3281719145649007
100,0.3692050075605921,0.7318545319522312,0.3626495243916391,0.04129247304665426,0.9777385757653552,0.9000837863343493,0.7583876463497268,0.5,0.3748557321477308,0.9844090066992953
101,0.0027455007658263087,0.37255011741361727,0.36980461664779096,1.5918910870515706,0.3917137365205571,0.6438596630855716,0.5602776898551425,0.5,0.7271065333659913,0.871877019420377
102,0.0030075633476141896,0.3450456802687332,0.342038116921119,0.9300364266482501,0.5608655605719456,0.850042212634386,0.5022870899446135,0.5,0.028134592113153722,0.38981191985476127
103,0.07653601870281934,0.5754928711482112,0.49895685244539195,1.7668371649922583,0.3115584109903381,0.361047610404465,0.5765237158717298,0.5,0.9954054432226817,0.004477434381204626
104,0.3283902116058453,0.7375149139839461,0.40912470237810084,0.39684522334743716,0.6438091893198296,0.33017839070729316,0.7712993633430576,0.5,0.9694326636089894,0.19857704499420703
105,0.05207507157539705,0.4728834442017219,0.42080837262632487,0.7709607133433188,0.6039561401963014,0.7252011813747838,0.5653255655944611,0.5,0.8267306700441266,0.44230474358817107
106,0.14919075298736661,0.6410541116978071,0.4918633587104405,25.7106834858661,0.09481180470934414,0.12689168797181216,0.7375074443751919,0.5,0.6242510047855668,0.10435682927443302
107,0.16185821026590114,0.5857350672985445,0.42387685703264333,1.6478223730501902,0.3334123504120514,0.2857482327874137,0.6731513447235775,0.5,0.5002882789866075,0.347216232281795
