sample_id,rep,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
20,18,0.42828958477760204,0.8410856464925637,0.41279606171496164,0.17376329720095174,0.7288273572721244,0.17554499781764055,0.8463795467907478,0.5,0.5564015705845731,0.1024941347304994
20,19,0.43780496234928146,0.8400050534834785,0.4022000911341971,0.1778533710666292,0.7288273572721244,0.17554499781764055,0.8463795467907478,0.5,0.5564015705845731,0.1024941347304994
21,0,0.06390982335072226,0.5556680052153667,0.4917581818646445,30.99730158730159,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,1,0.06059661999409749,0.5444228345088773,0.4838262145147798,32.710779220779216,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,2,0.07814456775890793,0.5593123231796455,0.4811677554207376,33.39424242424243,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,3,0.026159264308915298,0.5115254349218098,0.4853661706128945,32.33249639249639,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,4,0.0511578897450462,0.5395314511859712,0.48837356144092503,35.28238095238096,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,5,0.04193489096547326,0.5317974205989678,0.4898625296334946,33.074480519480524,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,6,0.05995517086743002,0.5419278338163308,0.4819726629489008,32.919834054834055,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,7,0.050702904375271085,0.5372501208633952,0.4865472164881241,31.700670995670993,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,8,0.06146761727911548,0.5535740687392063,0.49210645146009085,33.522813852813854,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,9,0.03733197655966314,0.5181698995954583,0.4808379230357952,31.24455988455988,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,10,0.02569431804976896,0.5180549806308711,0.4923606625811021,32.94253968253968,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,11,0.06188684653261167,0.5483602890917435,0.48647344255913183,30.565670995671,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,12,0.07230713865442512,0.5585665764940915,0.48625943783966635,28.905634920634924,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,13,0.05301471490853504,0.5381347384732448,0.48512002356470973,32.842063492063495,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,14,0.04546580616409357,0.5342915614247005,0.4888257552606069,31.401825396825398,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,15,0.06049330672265979,0.5492026799090403,0.48870937318638047,32.62987734487734,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
21,16,0.016597647606287735,0.5089966731165083,0.4923990255102206,36.154603174603174,0.043693241312568465,0.3926905066752112,0.8455270306413691,0.5,0.6690315985377017,0.5915547336476866
